symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,hrspwr-binned,fueltyp-diesel(0)/gas(1),aspiration-std(1)/turbo(0)
0,78.0,honda,four,wagon,fwd,front,96.5,-1.39,-0.95,1.85,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,7.83,6.91,7295.0,Low,0,1
0,106.0,honda,two,hatchback,fwd,front,96.5,-0.54,-0.33,-0.19,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.7,7.12,7895.0,Low,0,1
0,106.0,honda,two,hatchback,fwd,front,96.5,-0.54,-0.33,-0.19,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.7,7.12,9095.0,Low,0,1
0,85.0,honda,four,sedan,fwd,front,96.5,0.1,-0.33,0.14,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.7,7.12,8845.0,Low,0,1
0,85.0,honda,four,sedan,fwd,front,96.5,0.1,-1.61,0.14,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.7,7.12,10295.0,Low,0,1
0,85.0,honda,four,sedan,fwd,front,96.5,0.1,-0.33,0.14,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,9.79,8.39,12945.0,Low,0,1
1,107.0,honda,two,sedan,fwd,front,96.5,-0.41,0.05,-1.13,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,9.4,7.58,10345.0,Low,0,1
0,122.0,isuzu,four,sedan,rwd,front,94.3,-0.28,-1.95,-0.11,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,9.79,8.1,6785.0,Low,0,1
2,122.0,isuzu,two,hatchback,rwd,front,96.0,-0.13,-0.33,-0.97,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,9.79,8.1,11048.0,Low,0,1
0,145.0,jaguar,four,sedan,rwd,front,113.0,2.06,1.77,-0.39,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15.67,12.37,32250.0,Medium,0,1
0,122.0,jaguar,four,sedan,rwd,front,113.0,2.06,1.77,-0.39,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15.67,12.37,35550.0,Medium,0,1
0,122.0,jaguar,two,sedan,rwd,front,102.0,1.42,2.24,-2.44,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,18.08,13.82,36000.0,High,0,1
1,104.0,mazda,two,hatchback,fwd,front,93.1,-1.23,-0.8,0.14,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.83,7.58,5195.0,Low,0,1
1,104.0,mazda,two,hatchback,fwd,front,93.1,-1.23,-0.8,0.14,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.58,6.18,6095.0,Low,0,1
1,104.0,mazda,two,hatchback,fwd,front,93.1,-1.23,-0.8,0.14,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.58,6.18,6795.0,Low,0,1
1,113.0,mazda,four,sedan,fwd,front,93.1,-0.6,-0.8,0.14,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.58,6.18,6695.0,Low,0,1
1,113.0,mazda,four,sedan,fwd,front,93.1,-0.6,-0.8,0.14,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,7.58,6.18,7395.0,Low,0,1
3,150.0,mazda,two,hatchback,rwd,front,95.3,-0.42,-0.09,-1.7,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,13.82,10.22,10945.0,Low,0,1
3,150.0,mazda,two,hatchback,rwd,front,95.3,-0.42,-0.09,-1.7,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,13.82,10.22,11845.0,Low,0,1
3,150.0,mazda,two,hatchback,rwd,front,95.3,-0.42,-0.09,-1.7,2385,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,13.82,10.22,13645.0,Low,0,1
3,150.0,mazda,two,hatchback,rwd,front,95.3,-0.42,-0.09,-1.7,2500,rotor,two,80,mpfi,3.3297512437810943,3.255422885572139,9.4,135.0,6000.0,14.69,10.22,15645.0,Medium,0,1
1,129.0,mazda,two,hatchback,fwd,front,98.8,0.29,0.29,-0.03,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.04,7.34,8845.0,Low,0,1
0,115.0,mazda,four,sedan,fwd,front,98.8,0.29,0.29,0.71,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.04,7.34,8495.0,Low,0,1
1,129.0,mazda,two,hatchback,fwd,front,98.8,0.29,0.29,-0.03,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.04,7.34,10595.0,Low,0,1
0,115.0,mazda,four,sedan,fwd,front,98.8,0.29,0.29,0.71,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.04,7.34,10245.0,Low,0,1
0,122.0,mazda,,sedan,fwd,front,98.8,0.29,0.29,0.71,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,6.53,5.6,10795.0,Low,1,1
0,115.0,mazda,four,hatchback,fwd,front,98.8,0.29,0.29,0.71,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.04,7.34,11245.0,Low,0,1
0,118.0,mazda,four,sedan,rwd,front,104.9,0.06,0.1,0.26,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,12.37,8.7,18280.0,Medium,0,1
0,122.0,mazda,four,sedan,rwd,front,104.9,0.06,0.1,0.26,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,7.58,6.03,18344.0,Low,1,1
-1,93.0,mercedes-benz,four,sedan,rwd,front,110.0,1.36,2.1,1.12,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.68,9.4,25552.0,Medium,1,0
-1,93.0,mercedes-benz,four,wagon,rwd,front,110.0,1.36,2.1,2.02,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.68,9.4,28248.0,Medium,1,0
0,93.0,mercedes-benz,two,hardtop,rwd,front,106.7,1.08,2.1,0.46,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.68,9.4,28176.0,Medium,1,0
-1,93.0,mercedes-benz,four,sedan,rwd,front,115.6,2.3,2.77,1.03,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.68,9.4,31600.0,Medium,1,0
-1,122.0,mercedes-benz,four,sedan,rwd,front,115.6,2.3,2.77,1.12,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,14.69,13.06,34184.0,Medium,0,1
3,142.0,mercedes-benz,two,convertible,rwd,front,96.6,0.49,2.19,-1.21,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,14.69,13.06,35056.0,Medium,0,1
0,122.0,mercedes-benz,four,sedan,rwd,front,120.9,2.75,2.77,1.2,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,16.79,14.69,40960.0,Medium,0,1
1,122.0,mercedes-benz,two,hardtop,rwd,front,112.0,2.03,2.91,0.67,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,16.79,14.69,45400.0,Medium,0,1
1,122.0,mercury,two,hatchback,rwd,front,102.7,0.34,1.0,0.42,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,12.37,9.79,16503.0,Medium,0,0
2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,-1.37,-0.71,-1.21,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,6.35,5.73,5389.0,Low,0,1
2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,-1.37,-0.71,-1.21,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,6189.0,Low,0,1
2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,-1.37,-0.71,-1.21,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,6669.0,Low,0,1
1,161.0,mitsubishi,two,hatchback,fwd,front,93.0,-1.37,-0.99,-1.21,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,9.79,7.83,7689.0,Low,0,0
3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,-0.1,-0.23,-1.78,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.22,7.83,9959.0,Low,0,0
3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,-0.1,-0.23,-1.78,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,7.34,8499.0,Low,0,1
3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,-0.08,0.2,-1.46,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,12.37,9.79,12629.0,Medium,0,0
3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,-0.08,0.2,-1.46,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.37,9.79,14869.0,Medium,0,0
3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,-0.08,0.2,-1.46,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.37,9.79,14489.0,Medium,0,0
1,125.0,mitsubishi,four,sedan,fwd,front,96.3,-0.15,-0.23,-0.89,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,7.34,6989.0,Low,0,1
1,125.0,mitsubishi,four,sedan,fwd,front,96.3,-0.15,-0.23,-0.89,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,7.34,8189.0,Low,0,1
1,125.0,mitsubishi,four,sedan,fwd,front,96.3,-0.15,-0.23,-0.89,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.22,7.83,9279.0,Low,0,0
-1,137.0,mitsubishi,four,sedan,fwd,front,96.3,-0.15,-0.23,-0.89,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.22,7.83,9279.0,Low,0,1
1,128.0,nissan,two,sedan,fwd,front,94.5,-0.72,-0.99,0.3,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.58,6.35,5499.0,Low,0,1
1,128.0,nissan,two,sedan,fwd,front,94.5,-0.72,-0.99,0.3,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,5.22,4.7,7099.0,Low,1,1
1,128.0,nissan,two,sedan,fwd,front,94.5,-0.72,-0.99,0.3,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.58,6.35,6649.0,Low,0,1
1,122.0,nissan,four,sedan,fwd,front,94.5,-0.72,-0.99,0.3,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.58,6.35,6849.0,Low,0,1
1,103.0,nissan,four,wagon,fwd,front,94.5,-0.32,-0.99,-0.11,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.58,6.35,7349.0,Low,0,1
1,128.0,nissan,two,sedan,fwd,front,94.5,-0.72,-0.99,0.3,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.58,6.35,7299.0,Low,0,1
1,128.0,nissan,two,hatchback,fwd,front,94.5,-0.7,-0.99,-0.19,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.58,6.35,7799.0,Low,0,1
1,122.0,nissan,four,sedan,fwd,front,94.5,-0.72,-0.99,0.3,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.58,6.35,7499.0,Low,0,1
1,103.0,nissan,four,wagon,fwd,front,94.5,-0.32,-0.99,-0.11,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.58,6.35,7999.0,Low,0,1
2,168.0,nissan,two,hardtop,fwd,front,95.1,-0.96,-0.99,-0.19,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.58,6.35,8249.0,Low,0,1
0,106.0,nissan,four,hatchback,fwd,front,97.2,-0.07,-0.33,0.38,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8.7,6.91,8949.0,Low,0,1
0,106.0,nissan,four,sedan,fwd,front,97.2,-0.07,-0.33,0.38,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8.7,6.91,9549.0,Low,0,1
0,128.0,nissan,four,sedan,fwd,front,100.4,0.61,0.29,0.54,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13.82,10.68,13499.0,Medium,0,1
0,108.0,nissan,four,wagon,fwd,front,100.4,0.84,0.29,0.95,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13.82,10.68,14399.0,Medium,0,1
0,108.0,nissan,four,sedan,fwd,front,100.4,0.84,0.29,0.54,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,12.37,9.4,13499.0,Medium,0,1
3,194.0,nissan,two,hatchback,rwd,front,91.3,-0.28,0.96,-1.66,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,12.37,9.4,17199.0,Medium,0,1
3,194.0,nissan,two,hatchback,rwd,front,91.3,-0.28,0.96,-1.66,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,13.82,10.22,19699.0,High,0,0
1,231.0,nissan,two,hatchback,rwd,front,99.2,0.35,0.96,-1.66,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,12.37,9.4,18399.0,Medium,0,1
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3020,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.37,9.79,11900.0,Low,0,1
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3197,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,8.39,7.12,13200.0,Low,1,0
0,122.0,peugot,four,wagon,rwd,front,114.2,2.0,1.19,2.02,3230,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.37,9.79,12440.0,Low,0,1
0,122.0,peugot,four,wagon,rwd,front,114.2,2.0,1.19,2.02,3430,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,9.4,9.4,13860.0,Low,1,0
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3075,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,12.37,9.79,15580.0,Low,0,1
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,8.39,7.12,16900.0,Low,1,0
0,122.0,peugot,four,wagon,rwd,front,114.2,2.0,1.19,1.2,3285,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,12.37,9.79,16695.0,Low,0,1
0,122.0,peugot,four,wagon,rwd,front,114.2,2.0,1.19,2.02,3485,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,9.4,9.4,17075.0,Low,1,0
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3075,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.37,9.79,16630.0,Low,0,1
0,161.0,peugot,four,sedan,rwd,front,107.9,1.01,1.19,1.2,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,8.39,7.12,17950.0,Low,1,0
0,161.0,peugot,four,sedan,rwd,front,108.0,1.01,1.15,0.91,3130,l,four,134,mpfi,3.61,3.21,7.0,142.0,5600.0,13.06,9.79,18150.0,Medium,0,0
1,119.0,plymouth,two,hatchback,fwd,front,93.7,-1.37,-0.99,-1.21,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,6.35,5.73,5572.0,Low,0,1
1,119.0,plymouth,two,hatchback,fwd,front,93.7,-1.37,-0.99,-1.21,2128,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,9.79,7.83,7957.0,Low,0,0
1,154.0,plymouth,four,hatchback,fwd,front,93.7,-1.37,-0.99,-1.29,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,6229.0,Low,0,1
1,154.0,plymouth,four,sedan,fwd,front,93.7,-0.56,-0.99,-1.21,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,6692.0,Low,0,1
1,154.0,plymouth,four,sedan,fwd,front,93.7,-0.56,-0.99,-1.21,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68.0,5500.0,7.58,6.18,7609.0,Low,0,1
-1,74.0,plymouth,four,wagon,fwd,front,103.3,0.03,-0.61,2.46,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.79,7.83,8921.0,Low,0,1
3,122.0,plymouth,two,hatchback,rwd,front,95.9,-0.08,0.2,-1.46,2818,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.37,9.79,12764.0,Medium,0,0
3,186.0,porsche,two,hatchback,rwd,front,94.5,-0.43,1.15,-1.46,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143.0,5500.0,12.37,8.7,22018.0,Medium,0,1
3,122.0,porsche,two,hardtop,rwd,rear,89.5,-0.43,-0.42,-0.89,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,13.82,9.4,32528.0,High,0,1
3,122.0,porsche,two,hardtop,rwd,rear,89.5,-0.43,-0.42,-0.89,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,13.82,9.4,34028.0,High,0,1
3,122.0,porsche,two,convertible,rwd,rear,89.5,-0.43,-0.42,-0.89,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,13.82,9.4,37028.0,High,0,1
0,122.0,renault,four,wagon,fwd,front,96.1,0.59,0.29,0.59,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104.25615763546799,5125.369458128079,10.22,7.58,9295.0,Low,0,1
2,122.0,renault,two,hatchback,fwd,front,96.1,0.21,0.34,-1.33,2460,ohc,four,132,mpfi,3.46,3.9,8.7,104.25615763546799,5125.369458128079,10.22,7.58,9895.0,Low,0,1
3,150.0,saab,two,hatchback,fwd,front,99.1,1.01,0.29,0.95,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110.0,5250.0,11.19,8.39,11850.0,Low,0,1
2,104.0,saab,four,sedan,fwd,front,99.1,1.01,0.29,0.95,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,11.19,8.39,12170.0,Low,0,1
3,150.0,saab,two,hatchback,fwd,front,99.1,1.01,0.29,0.95,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110.0,5250.0,11.19,8.39,15040.0,Low,0,1
2,104.0,saab,four,sedan,fwd,front,99.1,1.01,0.29,0.95,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,11.19,8.39,15510.0,Low,0,1
3,150.0,saab,two,hatchback,fwd,front,99.1,1.01,0.29,0.95,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,12.37,9.04,18150.0,Medium,0,0
2,104.0,saab,four,sedan,fwd,front,99.1,1.01,0.29,0.95,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,12.37,9.04,18620.0,Medium,0,0
2,83.0,subaru,two,hatchback,fwd,front,93.7,-1.4,-1.18,-0.03,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69.0,4900.0,7.58,6.53,5118.0,Low,0,1
2,83.0,subaru,two,hatchback,fwd,front,93.7,-1.32,-1.09,-0.03,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,9.04,7.58,7053.0,Low,0,1
2,83.0,subaru,two,hatchback,4wd,front,93.3,-1.37,-0.99,0.79,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,9.04,7.58,7603.0,Low,0,1
0,102.0,subaru,four,sedan,fwd,front,97.2,-0.18,-0.23,-0.52,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4800.0,7.34,6.35,7126.0,Low,0,1
0,102.0,subaru,four,sedan,fwd,front,97.2,-0.18,-0.23,-0.52,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4400.0,8.39,7.12,7775.0,Low,0,1
